=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.25 00:13:18 =~=~=~=~=~=~=~=~=~=~=~=
0,-1,-1,-1,-1,-1
59596,0,-1,-1,-1,-1,-1
59618,0,-1,-1,-1,-1,-1
59640,0,-1,-1,-1,-1,-1
59662,0,-1,-1,-1,-1,-1
59684,0,-1,-1,-1,-1,-1
59706,0,-1,-1,-1,-1,-1
59728,0,-1,-1,-1,-1,-1
59750,0,-1,-1,-1,-1,-1
59772,0,-1,-1,-1,-1,-1
59794,0,-1,-1,-1,-1,-1
59816,0,-1,-1,-1,-1,-1
59838,0,-1,-1,-1,-1,-1
59860,0,-1,-1,-1,-1,-1
59882,0,-1,-1,-1,-1,-1
59904,0,-1,-1,-1,-1,-1
59926,0,-1,-1,-1,-1,-1
59948,0,-1,-1,-1,-1,-1
59970,0,-1,-1,-1,-1,-1
59992,0,-1,-1,-1,-1,-1
60014,0,-1,-1,-1,-1,-1
60036,0,-1,-1,-1,-1,-1
60058,0,-1,-1,-1,-1,-1
60080,0,-1,-1,-1,-1,-1
60102,0,-1,-1,-1,-1,-1
60124,0,-1,-1,-1,-1,-1
60146,0,-1,-1,-1,-1,-1
60168,0,-1,-1,-1,-1,-1
60190,0,-1,-1,-1,-1,-1
60212,0,-1,-1,-1,-1,-1
60234,0,-1,-1,-1,-1,-1
60256,0,-1,-1,-1,-1,-1
60278,0,-1,-1,-1,-1,-1
60300,0,-1,-1,-1,-1,-1
60322,0,-1,-1,-1,-1,-1
60344,0,-1,-1,-1,-1,-1
60366,0,-1,-1,-1,-1,-1
60388,0,-1,-1,-1,-1,-1
60410,0,-1,-1,-1,-1,-1
60432,0,-1,-1,-1,-1,-1
60454,0,-1,-1,-1,-1,-1
60476,0,-1,-1,-1,-1,-1
60498,0,-1,-1,-1,-1,-1
60520,0,-1,-1,-1,-1,-1
60542,0,-1,-1,-1,-1,-1
60564,0,-1,-1,-1,-1,-1
60586,0,-1,-1,-1,-1,-1
60608,0,-1,-1,-1,-1,-1
60630,0,-1,-1,-1,-1,-1
60652,0,-1,-1,-1,-1,-1
60674,0,-1,-1,-1,-1,-1
60696,0,-1,-1,-1,-1,-1
60718,0,-1,-1,-1,-1,-1
60740,0,-1,-1,-1,-1,-1
60762,0,-1,-1,-1,-1,-1
60784,0,-1,-1,-1,-1,-1
60806,0,-1,-1,-1,-1,-1
60828,0,-1,-1,-1,-1,-1
60850,0,-1,-1,-1,-1,-1
60872,0,-1,-1,-1,-1,-1
60894,0,-1,-1,-1,-1,-1
60916,0,-1,-1,-1,-1,-1
60938,0,-1,-1,-1,-1,-1
60960,0,-1,-1,-1,-1,-1
60982,0,-1,-1,-1,-1,-1
61004,0,-1,-1,-1,-1,-1
61026,0,-1,-1,-1,-1,-1
61048,0,-1,-1,-1,-1,-1
61070,0,-1,-1,-1,-1,-1
61092,0,-1,-1,-1,-1,-1
61114,0,-1,-1,-1,-1,-1
61136,0,-1,-1,-1,-1,-1
61158,0,-1,-1,-1,-1,-1
61180,0,-1,-1,-1,-1,-1
61202,0,-1,-1,-1,-1,-1
61224,0,-1,-1,-1,-1,-1
61246,0,-1,-1,-1,-1,-1
61268,0,-1,-1,-1,-1,-1
61290,0,-1,-1,-1,-1,-1
61312,0,-1,-1,-1,-1,-1
61334,0,-1,-1,-1,-1,-1
61356,0,-1,-1,-1,-1,-1
61378,0,-1,-1,-1,-1,-1
61400,0,-1,-1,-1,-1,-1
61422,0,-1,-1,-1,-1,-1
61444,0,-1,-1,-1,-1,-1
61466,0,-1,-1,-1,-1,-1
61488,0,-1,-1,-1,-1,-1
61510,0,-1,-1,-1,-1,-1
61532,0,-1,-1,-1,-1,-1
61554,0,-1,-1,-1,-1,-1
61576,0,-1,-1,-1,-1,-1
61598,0,-1,-1,-1,-1,-1
61620,0,-1,-1,-1,-1,-1
61642,0,-1,-1,-1,-1,-1
61664,0,-1,-1,-1,-1,-1
61686,0,-1,-1,-1,-1,-1
61708,0,-1,-1,-1,-1,-1
61730,0,-1,-1,-1,-1,-1
61752,0,-1,-1,-1,-1,-1
61774,0,-1,-1,-1,-1,-1
61796,0,-1,-1,-1,-1,-1
61818,0,-1,-1,-1,-1,-1
61840,0,-1,-1,-1,-1,-1
61862,0,-1,-1,-1,-1,-1
61884,0,-1,-1,-1,-1,-1
61906,0,-1,-1,-1,-1,-1
61928,0,-1,-1,-1,-1,-1
61950,0,-1,-1,-1,-1,-1
61972,0,-1,-1,-1,-1,-1
61994,0,-1,-1,-1,-1,-1
62016,0,-1,-1,-1,-1,-1
62038,0,-1,-1,-1,-1,-1
62060,0,-1,-1,-1,-1,-1
62082,0,-1,-1,-1,-1,-1
62104,0,-1,-1,-1,-1,-1
62126,0,-1,-1,-1,-1,-1
62148,0,-1,-1,-1,-1,-1
62170,0,-1,-1,-1,-1,-1
62192,0,-1,-1,-1,-1,-1
62214,0,-1,-1,-1,-1,-1
62236,0,-1,-1,-1,-1,-1
62258,0,-1,-1,-1,-1,-1
62280,0,-1,-1,-1,-1,-1
62302,0,-1,-1,-1,-1,-1
62324,0,-1,-1,-1,-1,-1
62346,0,-1,-1,-1,-1,-1
62368,0,-1,-1,-1,-1,-1
62390,0,-1,-1,-1,-1,-1
62412,0,-1,-1,-1,-1,-1
62434,0,-1,-1,-1,-1,-1
62456,0,-1,-1,-1,-1,-1
62478,0,-1,-1,-1,-1,-1
62500,0,-1,-1,-1,-1,-1
62522,0,-1,-1,-1,-1,-1
62544,0,-1,-1,-1,-1,-1
62566,0,-1,-1,-1,-1,-1
62588,0,-1,-1,-1,-1,-1
62610,0,-1,-1,-1,-1,-1
62632,0,-1,-1,-1,-1,-1
62654,0,-1,-1,-1,-1,-1
62676,0,-1,-1,-1,-1,-1
62698,0,-1,-1,-1,-1,-1
62720,0,-1,-1,-1,-1,-1
62742,0,-1,-1,-1,-1,-1
62764,0,-1,-1,-1,-1,-1
62786,0,-1,-1,-1,-1,-1
62808,0,-1,-1,-1,-1,-1
62830,0,-1,-1,-1,-1,-1
62852,0,-1,-1,-1,-1,-1
62874,0,-1,-1,-1,-1,-1
62896,0,-1,-1,-1,-1,-1
62918,0,-1,-1,-1,-1,-1
62940,0,-1,-1,-1,-1,-1
62962,0,-1,-1,-1,-1,-1
62984,0,-1,-1,-1,-1,-1
63006,0,-1,-1,-1,-1,-1
63028,0,-1,-1,-1,-1,-1
63050,0,-1,-1,-1,-1,-1
63072,0,-1,-1,-1,-1,-1
63094,0,-1,-1,-1,-1,-1
63116,0,-1,-1,-1,-1,-1
63138,0,-1,-1,-1,-1,-1
63160,0,-1,-1,-1,-1,-1
63182,0,-1,-1,-1,-1,-1
63204,0,-1,-1,-1,-1,-1
63226,0,-1,-1,-1,-1,-1
63248,0,-1,-1,-1,-1,-1
63270,0,-1,-1,-1,-1,-1
63292,0,-1,-1,-1,-1,-1
63314,0,-1,-1,-1,-1,-1
63336,0,-1,-1,-1,-1,-1
63358,0,-1,-1,-1,-1,-1
63380,0,-1,-1,-1,-1,-1
63402,0,-1,-1,-1,-1,-1
63424,0,-1,-1,-1,-1,-1
63446,0,-1,-1,-1,-1,-1
63468,0,-1,-1,-1,-1,-1
63490,0,-1,-1,-1,-1,-1
63512,0,-1,-1,-1,-1,-1
63534,0,-1,-1,-1,-1,-1
63556,0,-1,-1,-1,-1,-1
63578,0,-1,-1,-1,-1,-1
63600,0,-1,-1,-1,-1,-1
63622,0,-1,-1,-1,-1,-1
63644,0,-1,-1,-1,-1,-1
63666,0,-1,-1,-1,-1,-1
63688,0,-1,-1,-1,-1,-1
63710,0,-1,-1,-1,-1,-1
63732,0,-1,-1,-1,-1,-1
63754,0,-1,-1,-1,-1,-1
63776,0,-1,-1,-1,-1,-1
63798,0,-1,-1,-1,-1,-1
63820,0,-1,-1,-1,-1,-1
63842,0,-1,-1,-1,-1,-1
63864,0,-1,-1,-1,-1,-1
63886,0,-1,-1,-1,-1,-1
63908,0,-1,-1,-1,-1,-1
63930,0,-1,-1,-1,-1,-1
63952,0,-1,-1,-1,-1,-1
63974,0,-1,-1,-1,-1,-1
63996,0,-1,-1,-1,-1,-1
64018,0,-1,-1,-1,-1,-1
64040,0,-1,-1,-1,-1,-1
64062,0,-1,-1,-1,-1,-1
64084,0,-1,-1,-1,-1,-1
64106,0,-1,-1,-1,-1,-1
64128,0,-1,-1,-1,-1,-1
64150,0,-1,-1,-1,-1,-1
64172,0,-1,-1,-1,-1,-1
64194,0,-1,-1,-1,-1,-1
64216,0,-1,-1,-1,-1,-1
64238,0,-1,-1,-1,-1,-1
64260,0,-1,-1,-1,-1,-1
64282,0,-1,-1,-1,-1,-1
64304,0,-1,-1,-1,-1,-1
64326,0,-1,-1,-1,-1,-1
64348,0,-1,-1,-1,-1,-1
64370,0,-1,-1,-1,-1,-1
64392,0,-1,-1,-1,-1,-1
64414,0,-1,-1,-1,-1,-1
64436,0,-1,-1,-1,-1,-1
64458,0,-1,-1,-1,-1,-1
64480,0,-1,-1,-1,-1,-1
64502,0,-1,-1,-1,-1,-1
64524,0,-1,-1,-1,-1,-1
64546,0,-1,-1,-1,-1,-1
64568,0,-1,-1,-1,-1,-1
64590,0,-1,-1,-1,-1,-1
64612,0,-1,-1,-1,-1,-1
64634,0,-1,-1,-1,-1,-1
64656,0,-1,-1,-1,-1,-1
64678,0,-1,-1,-1,-1,-1
64700,0,-1,-1,-1,-1,-1
64722,0,-1,-1,-1,-1,-1
64744,0,-1,-1,-1,-1,-1
64766,0,-1,-1,-1,-1,-1
64788,0,-1,-1,-1,-1,-1
64810,0,-1,-1,-1,-1,-1
64832,0,-1,-1,-1,-1,-1
64854,0,-1,-1,-1,-1,-1
64876,0,-1,-1,-1,-1,-1
64898,0,-1,-1,-1,-1,-1
64920,0,-1,-1,-1,-1,-1
64942,0,-1,-1,-1,-1,-1
64964,0,-1,-1,-1,-1,-1
64986,0,-1,-1,-1,-1,-1
65008,0,-1,-1,-1,-1,-1
65030,0,-1,-1,-1,-1,-1
65052,0,-1,-1,-1,-1,-1
65074,0,-1,-1,-1,-1,-1
65096,0,-1,-1,-1,-1,-1
65118,0,-1,-1,-1,-1,-1
65140,0,-1,-1,-1,-1,-1
65162,0,-1,-1,-1,-1,-1
65184,0,-1,-1,-1,-1,-1
65206,0,-1,-1,-1,-1,-1
65228,0,-1,-1,-1,-1,-1
65250,0,-1,-1,-1,-1,-1
65272,0,-1,-1,-1,-1,-1
65294,0,-1,-1,-1,-1,-1
65316,0,-1,-1,-1,-1,-1
65338,0,-1,-1,-1,-1,-1
65360,0,-1,-1,-1,-1,-1
65382,0,-1,-1,-1,-1,-1
65404,0,-1,-1,-1,-1,-1
65426,0,-1,-1,-1,-1,-1
65448,0,-1,-1,-1,-1,-1
65470,0,-1,-1,-1,-1,-1
65492,0,-1,-1,-1,-1,-1
65514,0,-1,-1,-1,-1,-1
65536,0,-1,-1,-1,-1,-1
65558,0,-1,-1,-1,-1,-1
65580,0,-1,-1,-1,-1,-1
65602,0,-1,-1,-1,-1,-1
65624,0,-1,-1,-1,-1,-1
65646,0,-1,-1,-1,-1,-1
65668,0,-1,-1,-1,-1,-1
65690,0,-1,-1,-1,-1,-1
65712,0,-1,-1,-1,-1,-1
65734,0,-1,-1,-1,-1,-1
65756,0,-1,-1,-1,-1,-1
65778,0,-1,-1,-1,-1,-1
65800,0,-1,-1,-1,-1,-1
65822,0,-1,-1,-1,-1,-1
65844,0,-1,-1,-1,-1,-1
65866,0,-1,-1,-1,-1,-1
65888,0,-1,-1,-1,-1,-1
65910,0,-1,-1,-1,-1,-1
65932,0,-1,-1,-1,-1,-1
65954,0,-1,-1,-1,-1,-1
65976,0,-1,-1,-1,-1,-1
65998,0,-1,-1,-1,-1,-1
66020,0,-1,-1,-1,-1,-1
66042,0,-1,-1,-1,-1,-1
66064,0,-1,-1,-1,-1,-1
66086,0,-1,-1,-1,-1,-1
66108,0,-1,-1,-1,-1,-1
66130,0,-1,-1,-1,-1,-1
66152,0,-1,-1,-1,-1,-1
66174,0,-1,-1,-1,-1,-1
66196,0,-1,-1,-1,-1,-1
66218,0,-1,-1,-1,-1,-1
66240,0,-1,-1,-1,-1,-1
66262,0,-1,-1,-1,-1,-1
66284,0,-1,-1,-1,-1,-1
66306,0,-1,-1,-1,-1,-1
66328,0,-1,-1,-1,-1,-1
66350,0,-1,-1,-1,-1,-1
66372,0,-1,-1,-1,-1,-1
66394,0,-1,-1,-1,-1,-1
66416,0,-1,-1,-1,-1,-1
66438,0,-1,-1,-1,-1,-1
66460,0,-1,-1,-1,-1,-1
66482,0,-1,-1,-1,-1,-1
66504,0,-1,-1,-1,-1,-1
66526,0,-1,-1,-1,-1,-1
66548,0,-1,-1,-1,-1,-1
66570,0,-1,-1,-1,-1,-1
66592,0,-1,-1,-1,-1,-1
66614,0,-1,-1,-1,-1,-1
66636,0,-1,-1,-1,-1,-1
66658,0,-1,-1,-1,-1,-1
66680,0,-1,-1,-1,-1,-1
66702,0,-1,-1,-1,-1,-1
66724,0,-1,-1,-1,-1,-1
66746,0,-1,-1,-1,-1,-1
66768,0,-1,-1,-1,-1,-1
66790,0,-1,-1,-1,-1,-1
66812,0,-1,-1,-1,-1,-1
66834,0,-1,-1,-1,-1,-1
66856,0,-1,-1,-1,-1,-1
66878,0,-1,-1,-1,-1,-1
66900,0,-1,-1,-1,-1,-1
66922,0,-1,-1,-1,-1,-1
66944,0,-1,-1,-1,-1,-1
66966,0,-1,-1,-1,-1,-1
66988,0,-1,-1,-1,-1,-1
67010,0,-1,-1,-1,-1,-1
67032,0,-1,-1,-1,-1,-1
67054,0,-1,-1,-1,-1,-1
67076,0,-1,-1,-1,-1,-1
67098,0,-1,-1,-1,-1,-1
67120,0,-1,-1,-1,-1,-1
67142,0,-1,-1,-1,-1,-1
67164,0,-1,-1,-1,-1,-1
67186,0,-1,-1,-1,-1,-1
67208,0,-1,-1,-1,-1,-1
67230,0,-1,-1,-1,-1,-1
67252,0,-1,-1,-1,-1,-1
67274,0,-1,-1,-1,-1,-1
67296,0,-1,-1,-1,-1,-1
67318,0,-1,-1,-1,-1,-1
67340,0,-1,-1,-1,-1,-1
67362,0,-1,-1,-1,-1,-1
67384,0,-1,-1,-1,-1,-1
67406,0,-1,-1,-1,-1,-1
67428,0,-1,-1,-1,-1,-1
67450,0,-1,-1,-1,-1,-1
67472,0,-1,-1,-1,-1,-1
67494,0,-1,-1,-1,-1,-1
67516,0,-1,-1,-1,-1,-1
67538,0,-1,-1,-1,-1,-1
67560,0,-1,-1,-1,-1,-1
67582,0,-1,-1,-1,-1,-1
67604,0,-1,-1,-1,-1,-1
67626,0,-1,-1,-1,-1,-1
67648,0,-1,-1,-1,-1,-1
67670,0,-1,-1,-1,-1,-1
67692,0,-1,-1,-1,-1,-1
67714,0,-1,-1,-1,-1,-1
67736,0,-1,-1,-1,-1,-1
67758,0,-1,-1,-1,-1,-1
67780,0,-1,-1,-1,-1,-1
67802,0,-1,-1,-1,-1,-1
67824,0,-1,-1,-1,-1,-1
67846,0,-1,-1,-1,-1,-1
67868,0,-1,-1,-1,-1,-1
67890,0,-1,-1,-1,-1,-1
67912,0,-1,-1,-1,-1,-1
67934,0,-1,-1,-1,-1,-1
67956,0,-1,-1,-1,-1,-1
67978,0,-1,-1,-1,-1,-1
68000,0,-1,-1,-1,-1,-1
68022,0,-1,-1,-1,-1,-1
68044,0,-1,-1,-1,-1,-1
68066,0,-1,-1,-1,-1,-1
68088,0,-1,-1,-1,-1,-1
68110,0,-1,-1,-1,-1,-1
68132,0,-1,-1,-1,-1,-1
68154,0,-1,-1,-1,-1,-1
68176,0,-1,-1,-1,-1,-1
68198,0,-1,-1,-1,-1,-1
68220,0,-1,-1,-1,-1,-1
68242,0,-1,-1,-1,-1,-1
68264,0,-1,-1,-1,-1,-1
68286,0,-1,-1,-1,-1,-1
68308,0,-1,-1,-1,-1,-1
68330,0,-1,-1,-1,-1,-1
68352,0,-1,-1,-1,-1,-1
68374,0,-1,-1,-1,-1,-1
68396,0,-1,-1,-1,-1,-1
68418,0,-1,-1,-1,-1,-1
68440,0,-1,-1,-1,-1,-1
68462,0,-1,-1,-1,-1,-1
68484,0,-1,-1,-1,-1,-1
68506,0,-1,-1,-1,-1,-1
68528,0,-1,-1,-1,-1,-1
68550,0,-1,-1,-1,-1,-1
68572,0,-1,-1,-1,-1,-1
68594,0,-1,-1,-1,-1,-1
68616,0,-1,-1,-1,-1,-1
68638,0,-1,-1,-1,-1,-1
68660,0,-1,-1,-1,-1,-1
68682,0,-1,-1,-1,-1,-1
68704,0,-1,-1,-1,-1,-1
68726,0,-1,-1,-1,-1,-1
68748,0,-1,-1,-1,-1,-1
68770,0,-1,-1,-1,-1,-1
68792,0,-1,-1,-1,-1,-1
68814,0,-1,-1,-1,-1,-1
68836,0,-1,-1,-1,-1,-1
68858,0,-1,-1,-1,-1,-1
68880,0,-1,-1,-1,-1,-1
68902,0,-1,-1,-1,-1,-1
68924,0,-1,-1,-1,-1,-1
68946,0,-1,-1,-1,-1,-1
68968,0,-1,-1,-1,-1,-1
68990,0,-1,-1,-1,-1,-1
69012,0,-1,-1,-1,-1,-1
69034,0,-1,-1,-1,-1,-1
69056,0,-1,-1,-1,-1,-1
69078,0,-1,-1,-1,-1,-1
69100,0,-1,-1,-1,-1,-1
69122,0,-1,-1,-1,-1,-1
69144,0,-1,-1,-1,-1,-1
69166,0,-1,-1,-1,-1,-1
69188,0,-1,-1,-1,-1,-1
69210,0,-1,-1,-1,-1,-1
69232,0,-1,-1,-1,-1,-1
69254,0,-1,-1,-1,-1,-1
69276,0,-1,-1,-1,-1,-1
69298,0,-1,-1,-1,-1,-1
69320,0,-1,-1,-1,-1,-1
69342,0,-1,-1,-1,-1,-1
69364,0,-1,-1,-1,-1,-1
69386,0,-1,-1,-1,-1,-1
69408,0,-1,-1,-1,-1,-1
69430,0,-1,-1,-1,-1,-1
69452,0,-1,-1,-1,-1,-1
69474,0,-1,-1,-1,-1,-1
69496,0,-1,-1,-1,-1,-1
69518,0,-1,-1,-1,-1,-1
69540,0,-1,-1,-1,-1,-1
69562,0,-1,-1,-1,-1,-1
69584,0,-1,-1,-1,-1,-1
69606,0,-1,-1,-1,-1,-1
69628,0,-1,-1,-1,-1,-1
69650,0,-1,-1,-1,-1,-1
69672,0,-1,-1,-1,-1,-1
69694,0,-1,-1,-1,-1,-1
69716,0,-1,-1,-1,-1,-1
69738,0,-1,-1,-1,-1,-1
69760,0,-1,-1,-1,-1,-1
69782,0,-1,-1,-1,-1,-1
69804,0,-1,-1,-1,-1,-1
69826,0,-1,-1,-1,-1,-1
69848,0,-1,-1,-1,-1,-1
69870,0,-1,-1,-1,-1,-1
69892,0,-1,-1,-1,-1,-1
69914,0,-1,-1,-1,-1,-1
69936,0,-1,-1,-1,-1,-1
69958,0,-1,-1,-1,-1,-1
69980,0,-1,-1,-1,-1,-1
70002,0,-1,-1,-1,-1,-1
70024,0,-1,-1,-1,-1,-1
70046,0,-1,-1,-1,-1,-1
70068,0,-1,-1,-1,-1,-1
70090,0,-1,-1,-1,-1,-1
70112,0,-1,-1,-1,-1,-1
70134,0,-1,-1,-1,-1,-1
70156,0,-1,-1,-1,-1,-1
70178,0,-1,-1,-1,-1,-1
70200,0,-1,-1,-1,-1,-1
70222,0,-1,-1,-1,-1,-1
70244,0,-1,-1,-1,-1,-1
70266,0,-1,-1,-1,-1,-1
70288,0,-1,-1,-1,-1,-1
70310,0,-1,-1,-1,-1,-1
70332,0,-1,-1,-1,-1,-1
70354,0,-1,-1,-1,-1,-1
70376,0,-1,-1,-1,-1,-1
70398,0,-1,-1,-1,-1,-1
70420,0,-1,-1,-1,-1,-1
70442,0,-1,-1,-1,-1,-1
70464,0,-1,-1,-1,-1,-1
70486,0,-1,-1,-1,-1,-1
70508,0,-1,-1,-1,-1,-1
70530,0,-1,-1,-1,-1,-1
70552,0,-1,-1,-1,-1,-1
70574,0,-1,-1,-1,-1,-1
70596,0,-1,-1,-1,-1,-1
70618,0,-1,-1,-1,-1,-1
70640,0,-1,-1,-1,-1,-1
70662,0,-1,-1,-1,-1,-1
70684,0,-1,-1,-1,-1,-1
70706,0,-1,-1,-1,-1,-1
70728,0,-1,-1,-1,-1,-1
70750,0,-1,-1,-1,-1,-1
70772,0,-1,-1,-1,-1,-1
70794,0,-1,-1,-1,-1,-1
70816,0,-1,-1,-1,-1,-1
70838,0,-1,-1,-1,-1,-1
70860,0,-1,-1,-1,-1,-1
70882,0,-1,-1,-1,-1,-1
70904,0,-1,-1,-1,-1,-1
70926,0,-1,-1,-1,-1,-1
70948,0,-1,-1,-1,-1,-1
70970,0,-1,-1,-1,-1,-1
70992,0,-1,-1,-1,-1,-1
71014,0,-1,-1,-1,-1,-1
71036,0,-1,-1,-1,-1,-1
71058,0,-1,-1,-1,-1,-1
71080,0,-1,-1,-1,-1,-1
71102,0,-1,-1,-1,-1,-1
71124,0,-1,-1,-1,-1,-1
71146,0,-1,-1,-1,-1,-1
71168,0,-1,-1,-1,-1,-1
71190,0,-1,-1,-1,-1,-1
71212,0,-1,-1,-1,-1,-1
71234,0,-1,-1,-1,-1,-1
71256,0,-1,-1,-1,-1,-1
71278,0,-1,-1,-1,-1,-1
71300,0,-1,-1,-1,-1,-1
71322,0,-1,-1,-1,-1,-1
71344,0,-1,-1,-1,-1,-1
71366,0,-1,-1,-1,-1,-1
71388,0,-1,-1,-1,-1,-1
71410,0,-1,-1,-1,-1,-1
71432,0,-1,-1,-1,-1,-1
71454,0,-1,-1,-1,-1,-1
71476,0,-1,-1,-1,-1,-1
71498,0,-1,-1,-1,-1,-1
71520,0,-1,-1,-1,-1,-1
71542,0,-1,-1,-1,-1,-1
71564,0,-1,-1,-1,-1,-1
71586,0,-1,-1,-1,-1,-1
71608,0,-1,-1,-1,-1,-1
71630,0,-1,-1,-1,-1,-1
71652,0,-1,-1,-1,-1,-1
71674,0,-1,-1,-1,-1,-1
71696,0,-1,-1,-1,-1,-1
71718,0,-1,-1,-1,-1,-1
71740,0,-1,-1,-1,-1,-1
71762,0,-1,-1,-1,-1,-1
71784,0,-1,-1,-1,-1,-1
71806,0,-1,-1,-1,-1,-1
71828,0,-1,-1,-1,-1,-1
71850,0,-1,-1,-1,-1,-1
71872,0,-1,-1,-1,-1,-1
71894,0,-1,-1,-1,-1,-1
71916,0,-1,-1,-1,-1,-1
71938,0,-1,-1,-1,-1,-1
71960,0,-1,-1,-1,-1,-1
71982,0,-1,-1,-1,-1,-1
72004,0,-1,-1,-1,-1,-1
72026,0,-1,-1,-1,-1,-1
72048,0,-1,-1,-1,-1,-1
72070,0,-1,-1,-1,-1,-1
72092,0,-1,-1,-1,-1,-1
72114,0,-1,-1,-1,-1,-1
72136,0,-1,-1,-1,-1,-1
72158,0,-1,-1,-1,-1,-1
72180,0,-1,-1,-1,-1,-1
72202,0,-1,-1,-1,-1,-1
72224,0,-1,-1,-1,-1,-1
72246,0,-1,-1,-1,-1,-1
72268,0,-1,-1,-1,-1,-1
72290,0,-1,-1,-1,-1,-1
72312,0,-1,-1,-1,-1,-1
72334,0,-1,-1,-1,-1,-1
72356,0,-1,-1,-1,-1,-1
72378,0,-1,-1,-1,-1,-1
72400,0,-1,-1,-1,-1,-1
72422,0,-1,-1,-1,-1,-1
72444,0,-1,-1,-1,-1,-1
72466,0,-1,-1,-1,-1,-1
72488,0,-1,-1,-1,-1,-1
72510,0,-1,-1,-1,-1,-1
72532,0,-1,-1,-1,-1,-1
72554,0,-1,-1,-1,-1,-1
72576,0,-1,-1,-1,-1,-1
72598,0,-1,-1,-1,-1,-1
72620,0,-1,-1,-1,-1,-1
72642,0,-1,-1,-1,-1,-1
72664,0,-1,-1,-1,-1,-1
72686,0,-1,-1,-1,-1,-1
72708,0,-1,-1,-1,-1,-1
72730,0,-1,-1,-1,-1,-1
72752,0,-1,-1,-1,-1,-1
72774,0,-1,-1,-1,-1,-1
72796,0,-1,-1,-1,-1,-1
72818,0,-1,-1,-1,-1,-1
72840,0,-1,-1,-1,-1,-1
72862,0,-1,-1,-1,-1,-1
72884,0,-1,-1,-1,-1,-1
72906,0,-1,-1,-1,-1,-1
72928,0,-1,-1,-1,-1,-1
72950,0,-1,-1,-1,-1,-1
72972,0,-1,-1,-1,-1,-1
72994,0,-1,-1,-1,-1,-1
73016,0,-1,-1,-1,-1,-1
73038,0,-1,-1,-1,-1,-1
73060,0,-1,-1,-1,-1,-1
73082,0,-1,-1,-1,-1,-1
73104,0,-1,-1,-1,-1,-1
73126,0,-1,-1,-1,-1,-1
73148,0,-1,-1,-1,-1,-1
73170,0,-1,-1,-1,-1,-1
73192,0,-1,-1,-1,-1,-1
73214,0,-1,-1,-1,-1,-1
